hotend_ist;hotend_soll;bed_ist;bed_soll
188,76 ;0,00 ;59,99 ;/0,00 
187,06 ;0,00 ;59,93 ;/0,00 
184,58 ;0,00 ;59,84 ;/0,00 
181,95 ;0,00 ;59,73 ;/0,00 
179,15 ;0,00 ;59,58 ;/0,00 
177,11 ;0,00 ;59,53 ;/0,00 
175,16 ;0,00 ;59,39 ;/0,00 
172,94 ;0,00 ;59,30 ;/0,00 
170,71 ;0,00 ;59,19 ;/0,00 
169,75 ;0,00 ;59,19 ;/60,00 
168,89 ;0,00 ;59,08 ;/60,00 
168,89 ;0,00 ;59,08 ;/60,00 
168,00 ;0,00 ;58,97 ;/60,00 
167,22 ;0,00 ;59,04 ;/60,00 
167,22 ;0,00 ;59,04 ;/60,00 
166,22 ;0,00 ;59,02 ;/60,00 
165,45 ;0,00 ;59,06 ;/60,00 
165,45 ;0,00 ;59,06 ;/60,00 
164,52 ;0,00 ;59,14 ;/60,00 
163,58 ;0,00 ;59,24 ;/60,00 
163,58 ;0,00 ;59,24 ;/60,00 
162,50 ;0,00 ;59,44 ;/60,00 
161,61 ;0,00 ;59,56 ;/60,00 
161,61 ;0,00 ;59,56 ;/60,00 
160,55 ;0,00 ;59,69 ;/60,00 
159,64 ;220,00 ;59,83 ;/60,00 
157,88 ;220,00 ;60,27 ;/60,00 
156,66 ;220,00 ;60,46 ;/60,00 
156,14 ;220,00 ;60,57 ;/60,00 
156,72 ;220,00 ;60,61 ;/60,00 
158,02 ;220,00 ;60,54 ;/60,00 
159,59 ;220,00 ;60,49 ;/60,00 
161,47 ;220,00 ;60,41 ;/60,00 
163,41 ;220,00 ;60,34 ;/60,00 
164,39 ;220,00 ;60,20 ;/60,00 
165,48 ;220,00 ;60,21 ;/60,00 
165,70 ;220,00 ;60,17 ;/60,00 
166,55 ;220,00 ;60,13 ;/60,00 
167,61 ;220,00 ;60,12 ;/60,00 
167,83 ;220,00 ;60,07 ;/60,00 
168,72 ;220,00 ;60,03 ;/60,00 
169,97 ;220,00 ;59,99 ;/60,00 
169,97 ;220,00 ;59,99 ;/60,00 
171,18 ;220,00 ;59,84 ;/60,00 
172,51 ;220,00 ;59,83 ;/60,00 
172,51 ;220,00 ;59,83 ;/60,00 
173,51 ;220,00 ;59,71 ;/60,00 
